Format,1,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Version,3.5.5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,G21-9800,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,AN 0BAR, CA 0BAR ~ Break in conditions ,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,JC,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,
Test Channel,System,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Name,Process_Data,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Name,Universal_Logger.ini,,,,,,,,,,,,,,,,,,,,,,,,,
Number Of Tags,24,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Log Rate,30000 ms,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-06-21 03:24:12,,,,,,,,,,,,,,,,,,,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Current,Current Density,Temp Anode Inlet Set,Temp Anode Inlet,Temp Anode Outlet,Temp cathode Inlet Set,Temp Cathode Inlet,Temp Cathode Outlet,Pressure Anode Set,Pressure Anode Inlet,Pressure Anode Outlet,Pressure Cathode Set,Pressure Cathode Inlet,Pressure Cathode Outlet,Flow Anode DI Water Supply Set,Flow Anode Di Water Supply,Flow Cathode DI Water Supply Set,Flow Cathode Di Water Supply,Signal In Resistivity Anode,Signal In Resistivity Cathode,Signal In H2 In O2 Sensor,Signal In O2 In H2 Sensor,Signal In E Stop
,s,,V,A,A/cm?,?C,°C,°C,?C,°C,°C,barg,barg,barg,barg,barg,barg,LPM,LPM,LPM,LPM,?S/cm,?S/cm,%,%,OFF/ON
Time Stamp,Elapsed Time,File Mark,voltage,current,current_density,temp_anode_inlet_set,temp_anode_inlet,temp_anode_outlet,temp_cathode_inlet_set,temp_cathode_inlet,temp_cathode_outlet,pressure_anode_set,beck.b1.m07.ch3,beck.b1.m07.ch4,pressure_cathode_set,beck.b1.m08.ch1,beck.b1.m08.ch2,flow_anode_di_water_supply_set,flow_anode_di_water_supply,flow_cathode_di_water_supply_set,flow_cathode_di_water_supply,signal_in_resistivity_anode,signal_in_resistivity_cathode,beck.b1.m11.ch1,beck.b1.m11.ch3,signal_in_e_stop
2024-06-21 03:24:30.005,17.406,,1.375130,0.011700,0.000234,80.000000,79.912437,77.627876,0.000000,25.732389,40.055759,2.000000,2.112430,2.053651,28.500000,6.732242,6.706693,0.500000,0.429701,0.000000,0.000000,0.668642,1.365509,0.298459,0.261238,1.000000
2024-06-21 03:25:00.005,47.406,,1.332460,0.012240,0.000245,80.000000,79.458626,77.278717,0.000000,25.947571,40.414696,2.000000,2.171386,2.028370,28.500000,8.207129,8.153772,0.500000,0.490127,0.000000,0.000000,0.658896,1.365509,0.300021,0.261238,1.000000
2024-06-21 03:25:30.005,77.406,,1.308750,0.011170,0.000223,80.000000,79.656052,77.250916,0.000000,26.090996,40.912266,2.000000,2.137697,1.994663,28.500000,9.674642,9.660794,0.500000,0.518326,0.000000,0.000000,0.610164,1.365509,0.303146,0.256355,1.000000
2024-06-21 03:26:00.005,107.406,,1.290730,0.011700,0.000245,80.000000,79.885933,77.303040,0.000000,26.093672,41.245251,2.000000,2.078740,1.960955,28.500000,11.141101,11.141526,0.500000,0.499527,0.000000,0.000000,0.590671,1.350890,0.300021,0.256355,1.000000
2024-06-21 03:26:30.005,137.406,,1.276500,0.011170,0.000234,80.000000,80.014603,77.412483,0.000000,26.160080,41.634575,2.000000,2.087162,1.935674,28.500000,12.607560,12.605431,0.500000,0.518326,0.000000,0.000000,0.576052,1.336270,0.303146,0.261238,1.000000
2024-06-21 03:27:00.005,167.406,,1.262280,0.012770,0.000245,80.000000,79.959190,77.448959,0.000000,26.199924,41.920074,2.000000,2.028206,1.885112,28.500000,14.100357,14.095627,0.500000,0.490127,0.000000,0.000000,0.556559,1.326524,0.300021,0.256355,1.000000
2024-06-21 03:27:30.005,197.406,,1.250900,0.012240,0.000245,80.000000,79.861519,77.351677,0.000000,26.226488,42.192600,2.000000,2.011361,1.935674,28.500000,15.558388,15.551118,0.500000,0.499527,0.000000,0.000000,0.566305,1.346016,0.303146,0.261238,1.000000
2024-06-21 03:28:00.005,227.406,,1.239520,0.012770,0.000223,80.000000,79.912437,77.494118,0.000000,26.316788,42.482533,2.000000,2.011361,1.901966,28.500000,17.041703,17.040263,0.500000,0.479385,0.000000,0.000000,0.551686,1.346016,0.303146,0.261238,1.000000
2024-06-21 03:28:30.005,257.406,,1.230980,0.010640,0.000213,80.000000,79.961273,77.445473,0.000000,26.343349,42.625286,2.000000,1.960827,1.910393,28.500000,18.509216,18.479980,0.500000,0.479385,0.000000,0.000000,0.537066,1.336270,0.303146,0.261238,1.000000
2024-06-21 03:29:00.005,287.406,,1.223400,0.011700,0.000234,80.000000,79.924644,77.518433,0.000000,26.369913,42.781013,2.000000,1.927137,1.842977,28.500000,19.958819,19.977537,0.500000,0.469985,0.000000,0.000000,0.537066,1.346016,0.304709,0.261238,1.000000
2024-06-21 03:29:30.005,317.406,,1.216760,0.011170,0.000223,80.000000,80.026512,77.445473,0.000000,26.396477,42.910789,2.000000,1.910292,1.842977,28.500000,21.399995,21.424616,0.500000,0.507584,0.000000,0.000000,0.551686,1.346016,0.303146,0.261238,1.000000
2024-06-21 03:30:00.005,347.406,,1.210120,0.012240,0.000245,80.000000,79.934769,77.473282,0.000000,26.372589,42.932316,2.000000,1.927137,1.842977,28.500000,22.901219,22.881159,0.500000,0.518326,0.000000,0.000000,0.532193,1.346016,0.303146,0.261238,1.000000
2024-06-21 03:30:30.005,377.406,,1.200630,0.010640,0.000213,80.000000,79.888023,77.494118,0.000000,26.436323,43.053539,2.000000,1.960827,1.842977,28.500000,24.325539,24.311411,0.500000,0.530412,0.000000,0.000000,0.551686,1.350890,0.303146,0.261238,1.000000
2024-06-21 03:31:00.005,407.406,,1.189250,0.012770,0.000255,80.000000,79.873726,77.509758,0.000000,26.399151,43.075066,2.000000,1.952404,1.842977,28.500000,25.724574,25.716423,0.500000,0.518326,0.000000,0.000000,0.537066,1.336270,0.303146,0.261238,1.000000
2024-06-21 03:31:30.005,437.406,,1.175980,0.011700,0.000234,80.000000,80.037483,77.494118,0.000000,26.462887,42.793991,2.000000,1.986094,1.842977,28.500000,27.048812,27.055181,0.500000,0.507584,0.000000,0.000000,0.537066,1.331397,0.303146,0.263680,1.000000
2024-06-21 03:32:00.005,467.406,,1.165550,0.012240,0.000245,80.000000,79.961273,77.494118,0.000000,26.476168,42.651241,2.000000,1.960827,1.842977,28.500000,28.346713,28.350821,0.500000,0.499527,0.000000,0.000000,0.537066,1.336270,0.303146,0.261238,1.000000
2024-06-21 03:32:30.005,497.406,,1.159860,0.011170,0.000223,80.000000,79.991089,77.505051,0.000000,26.354162,42.537964,2.000000,1.986094,1.842977,28.500000,28.666974,28.636871,0.500000,0.469985,0.000000,0.000000,0.546812,1.331397,0.304709,0.263680,1.000000
2024-06-21 03:33:00.005,527.406,,1.151320,0.012240,0.000234,80.000000,80.058838,77.591400,0.000000,26.263660,42.456577,2.000000,1.910292,1.817697,28.500000,28.633262,28.628458,0.500000,0.479385,0.000000,0.000000,0.537066,1.346016,0.303146,0.263680,1.000000
2024-06-21 03:33:30.005,557.406,,1.143730,0.011170,0.000213,80.000000,80.191994,77.534081,0.000000,26.160080,42.179623,2.000000,1.935560,1.792416,28.500000,28.574267,28.594805,0.500000,0.530412,0.000000,0.000000,0.537066,1.346016,0.303146,0.263680,1.000000
2024-06-21 03:34:00.005,587.406,,1.144680,0.011170,0.000223,80.000000,80.204292,77.558403,0.000000,26.120234,41.907097,2.000000,1.960827,1.817697,28.500000,28.557411,28.561152,0.500000,0.521012,0.000000,0.000000,0.532193,1.336270,0.304709,0.263680,1.000000
2024-06-21 03:34:30.006,617.407,,1.129510,0.011170,0.000213,80.000000,80.155106,77.558403,0.000000,26.053825,41.621597,2.000000,1.952404,1.817697,28.500000,28.548983,28.561152,0.500000,0.499527,0.000000,0.000000,0.551686,1.336270,0.303146,0.263680,1.000000
2024-06-21 03:35:00.005,647.406,,1.128560,0.012770,0.000245,80.000000,80.118217,77.607040,0.000000,25.987417,41.323116,2.000000,1.952404,1.868258,28.500000,28.523699,28.535912,0.500000,0.521012,0.000000,0.000000,0.551686,1.331397,0.303146,0.263680,1.000000
2024-06-21 03:35:30.005,677.406,,1.138040,0.011170,0.000223,80.000000,80.144905,77.652199,0.000000,25.958179,41.080975,2.000000,1.952404,1.868258,28.500000,28.481560,28.502259,0.500000,0.521012,0.000000,0.000000,0.551686,1.336270,0.304709,0.263680,1.000000
